City_x,Country,CityCountry,City_y,osm_url,flag,geohash,drives_on,bounds,latitude,longitude
Barquisimeto,Venezuela,"Barquisimeto, Venezuela","Barquisimeto, Venezuela",https://www.openstreetmap.org/?mlat=10.07744&mlon=-69.32223#map=17/10.07744/-69.32223,🇻🇪,d3y9qd916frrek3nbm73,right,"{'northeast': {'lat': 10.2374374, 'lng': -69.1622293}, 'southwest': {'lat': 9.9174374, 'lng': -69.4822293}}",10.0774374,-69.3222293
Caracas,Venezuela,"Caracas, Venezuela","Caracas, Venezuela",https://www.openstreetmap.org/?mlat=10.50609&mlon=-66.91460#map=17/10.50609/-66.91460,🇻🇪,d9b7v2d62vc22bzyfusf,right,"{'northeast': {'lat': 10.5677411, 'lng': -66.6618365}, 'southwest': {'lat': 10.3403965, 'lng': -67.1623904}}",10.5060934,-66.9146008
Ciudad Guayana,Venezuela,"Ciudad Guayana, Venezuela","Ciudad Guayana, Venezuela",https://www.openstreetmap.org/?mlat=8.32238&mlon=-62.68966#map=17/8.32238/-62.68966,🇻🇪,d97rm7nc2gru6spubxt9,right,"{'northeast': {'lat': 8.4026182, 'lng': -62.5525622}, 'southwest': {'lat': 8.1707969, 'lng': -62.914748}}",8.3223763,-62.6896622
Maracaibo,Venezuela,"Maracaibo, Venezuela","Maracaibo, Venezuela",https://www.openstreetmap.org/?mlat=10.64981&mlon=-71.64436#map=17/10.64981/-71.64436,🇻🇪,d3vh9dwptkms0ndwyn57,right,"{'northeast': {'lat': 10.8098095, 'lng': -71.4843596}, 'southwest': {'lat': 10.4898095, 'lng': -71.8043596}}",10.6498095,-71.6443596
Maturín,Venezuela,"Maturín, Venezuela","Maturín, Venezuela",https://www.openstreetmap.org/?mlat=9.74228&mlon=-63.18889#map=17/9.74228/-63.18889,🇻🇪,d9ep6je2bk0h35w7yxcs,right,"{'northeast': {'lat': 9.8562309, 'lng': -63.0753315}, 'southwest': {'lat': 9.6252384, 'lng': -63.3560085}}",9.7422774,-63.1888854
Da Nang,Vietnam,"Da Nang, Vietnam","Da Nang, Vietnam",https://www.openstreetmap.org/?mlat=16.06800&mlon=108.21200#map=17/16.06800/108.21200,🇻🇳,w6ugqmjdfk73qxskuc9z,right,"{'northeast': {'lat': 16.3340091, 'lng': 108.6563747}, 'southwest': {'lat': 15.9179902, 'lng': 107.8185394}}",16.068,108.212
Ha Long,Vietnam,"Ha Long, Vietnam","Ha Long, Vietnam",https://www.openstreetmap.org/?mlat=20.95284&mlon=107.08000#map=17/20.95284/107.08000,🇻🇳,w7sphwm70gg61xq5fruk,right,"{'northeast': {'lat': 21.238988, 'lng': 107.2989672}, 'southwest': {'lat': 20.7350218, 'lng': 106.8255601}}",20.9528365,107.0800003
Hanoi,Vietnam,"Hanoi, Vietnam","Hanoi, Vietnam",https://www.openstreetmap.org/?mlat=21.02833&mlon=105.85404#map=17/21.02833/105.85404,🇻🇳,w7er8u0dcvmyc2grydex,right,"{'northeast': {'lat': 21.3852777, 'lng': 106.0200725}, 'southwest': {'lat': 20.5645154, 'lng': 105.2889615}}",21.0283334,105.854041
Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",https://www.openstreetmap.org/?mlat=10.77639&mlon=106.70114#map=17/10.77639/106.70114,🇻🇳,w3gvk1c3h8xut26wzgsh,right,"{'northeast': {'lat': 11.1603083, 'lng': 107.0276712}, 'southwest': {'lat': 10.1399458, 'lng': 106.3567007}}",10.7763897,106.7011391
Lusaka,Zambia,"Lusaka, Zambia","Lusaka, Zambia",https://www.openstreetmap.org/?mlat=-15.41634&mlon=28.28184#map=17/-15.41634/28.28184,🇿🇲,ktk079d1qdj2v9fmvdnx,left,"{'northeast': {'lat': -15.2563395, 'lng': 28.4418414}, 'southwest': {'lat': -15.5763395, 'lng': 28.1218414}}",-15.4163395,28.2818414
Harare,Zimbabwe,"Harare, Zimbabwe","Harare, Zimbabwe",https://www.openstreetmap.org/?mlat=-17.83177&mlon=31.04569#map=16/-17.83177/31.04569,🇿🇼,ksy4d3yf2ut6dxb36dr1,left,"{'northeast': {'lat': -17.671773, 'lng': 31.205686}, 'southwest': {'lat': -17.991773, 'lng': 30.885686}}",-17.831773,31.045686
